,polymer,x_bar(ni),M(ni),std(ni),variance(ni),iqr(ni),R(ni),x_bar(nid),M(nid),std(nid),variance(nid),iqr(nid),R(nid)
0,PA,0.009365896,0.008583593,0.002825759,7.98E-06,0.002551764,0.053845619,-0.276781372,-0.307875894,0.207547734,0.043076062,0.242873081,1.654360651
1,PA,0.007270636,0.006476904,0.002855118,8.15E-06,0.002581436,0.054087231,-0.196968372,-0.225367469,0.24920974,0.062105494,0.308463385,1.743541605
2,PA,0.00697486,0.006216923,0.002756422,7.60E-06,0.002531983,0.050235565,-0.210128476,-0.240617038,0.25281833,0.063917108,0.318094376,1.716917824
3,PA,0.010030709,0.009249086,0.002815453,7.93E-06,0.002543287,0.054990098,-0.298975033,-0.329870129,0.197330748,0.038939424,0.228032291,1.660835488
4,PA,0.009032459,0.008138518,0.00316087,9.99E-06,0.002683168,0.054468724,-0.266939901,-0.298268119,0.215274363,0.046343052,0.254918967,1.694121646
5,PA,0.008796444,0.008011353,0.002832326,8.02E-06,0.002556003,0.054506874,-0.259358152,-0.290283644,0.216654466,0.046939158,0.25621693,1.715046846
6,PA,0.008854087,0.008066458,0.002827696,8.00E-06,0.002547526,0.054375471,-0.261480274,-0.292461021,0.215686422,0.046520632,0.254993323,1.707968441
7,PA,0.009085555,0.008299592,0.002833951,8.03E-06,0.002564481,0.05487565,-0.273859388,-0.305414423,0.212186361,0.045023052,0.249789779,1.696150075
8,PA,0.008300256,0.007515412,0.002827092,7.99E-06,0.002547526,0.054316127,-0.24197757,-0.272488509,0.22515354,0.050694117,0.269289273,1.725724923
9,PA,0.009477839,0.008681085,0.002863723,8.20E-06,0.002581436,0.055210516,-0.281407342,-0.31253545,0.20536627,0.042175305,0.239588983,1.673265273
10,PA,0.009751813,0.008948131,0.002898278,8.40E-06,0.002759466,0.055278337,-0.289350789,-0.320794147,0.202709521,0.04109115,0.235931816,1.674110608
11,PA,0.008497117,0.007723114,0.002820709,7.96E-06,0.002547526,0.054655232,-0.250716873,-0.281509433,0.221009552,0.048845222,0.262895983,1.714440984
12,PA,0.00893914,0.00816395,0.002826498,7.99E-06,0.002564481,0.054549262,-0.264561526,-0.295774647,0.213799615,0.045710275,0.252155362,1.699868021
13,PA,0.00924623,0.008371652,0.003130889,9.80E-06,0.003200302,0.054299172,-0.267315415,-0.299503035,0.214803904,0.046140717,0.255653776,1.71615907
14,PA,0.008433112,0.007646815,0.002825425,7.98E-06,0.002539048,0.055028247,-0.246969378,-0.277813922,0.222815289,0.049646653,0.265634973,1.716996945
15,PA,0.012829003,0.010427476,0.00721665,5.21E-05,0.004425319,0.079219143,-0.327499229,-0.359276629,0.188489833,0.035528417,0.218899315,1.663754105
16,PA,0.00984379,0.008787056,0.003367539,1.13E-05,0.003005317,0.054879889,-0.286214543,-0.317676142,0.205230317,0.042119483,0.240650446,1.680929789
17,PA,0.009257485,0.0084861,0.002830017,8.01E-06,0.002564481,0.055155412,-0.274595982,-0.30571992,0.209096979,0.043721547,0.245007979,1.700314402
